1,0,86,63
2,0,116,63
8,0,349,64
9,0,376,63
2,1,117,85
3,1,155,86
4,1,198,86
5,1,236,85
6,1,275,86
7,1,316,86
8,1,349,86
2,2,117,109
3,2,155,109
4,2,198,108
5,2,234,106
6,2,275,105
7,2,316,106
8,2,349,110
9,2,373,111
2,3,117,129
5,3,236,129
6,3,276,129
7,3,317,129
8,3,350,130
14,3,559,117
21,3,822,112
22,3,845,114
23,3,870,122
2,4,118,147
8,4,351,146
9,4,375,146
13,4,545,158
14,4,578,156
22,4,847,137
0,5,28,194
2,5,117,192
8,5,351,189
11,5,469,190
12,5,506,190
13,5,543,189
14,5,578,187
21,5,822,169
22,5,846,167
23,5,881,188
0,6,29,212
1,6,73,212
2,6,117,212
8,6,349,205
11,6,467,211
12,6,505,212
13,6,545,211
14,6,579,213
15,6,621,209
22,6,846,213
23,6,883,213
0,7,29,233
1,7,74,234
2,7,118,232
4,7,174,227
5,7,224,226
6,7,273,225
7,7,311,227
8,7,350,226
9,7,382,220
11,7,467,230
12,7,505,230
13,7,545,233
14,7,579,234
17,7,689,221
19,7,768,223
22,7,846,225
0,8,27,258
1,8,74,257
2,8,119,261
3,8,155,261
4,8,185,261
5,8,233,261
6,8,282,261
7,8,313,261
8,8,350,261
9,8,385,257
10,8,427,256
11,8,454,257
12,8,487,257
13,8,524,257
14,8,559,260
15,8,598,259
16,8,631,259
17,8,683,260
18,8,720,260
19,8,746,258
20,8,778,259
21,8,819,258
22,8,845,257
23,8,875,259
24,8,907,258
25,8,955,258
1,9,73,286
3,9,168,286
4,9,205,286
10,9,428,288
11,9,452,289
12,9,486,289
15,9,597,293
16,9,631,294
17,9,683,294
18,9,723,296
19,9,754,294
20,9,776,294
21,9,822,291
23,9,875,292
24,9,907,292
25,9,956,291
4,10,204,309
5,10,240,309
6,10,278,311
7,10,321,310
9,10,399,311
10,10,429,313
16,10,632,320
23,10,874,325
3,11,160,349
4,11,204,332
5,11,239,332
6,11,278,333
7,11,321,332
8,11,352,333
9,11,399,331
10,11,429,334
16,11,632,336
23,11,875,344
3,12,160,381
4,12,205,372
5,12,239,365
6,12,277,363
7,12,338,362
9,12,399,362
10,12,428,355
11,12,453,355
15,12,606,357
16,12,632,378
17,12,657,360
22,12,846,366
23,12,875,367
24,12,907,368
4,13,204,402
10,13,428,400
16,13,633,396
17,13,660,394
23,13,875,396
3,14,161,422
4,14,205,422
5,14,243,424
6,14,291,423
7,14,339,422
9,14,388,423
10,14,429,424
11,14,478,425
15,14,604,427
16,14,632,429
17,14,672,431
18,14,732,431
21,14,827,436
23,14,874,436
3,15,162,459
4,15,205,459
5,15,242,460
6,15,292,458
7,15,339,457
8,15,362,457
9,15,388,456
10,15,428,458
11,15,473,466
15,15,603,467
16,15,632,468
17,15,670,466
18,15,731,466
19,15,758,466
20,15,789,466
21,15,826,466
22,15,850,465
23,15,874,465
24,15,903,465
5,16,258,480
6,16,296,479
7,16,337,480
9,16,388,482
17,16,668,491
18,16,710,486
19,16,748,487
20,16,785,488
21,16,826,489
