4,0,306,154
1,1,99,198
2,1,177,211
3,1,225,209
4,1,306,207
5,1,384,211
6,1,436,211
7,1,481,207
8,1,545,208
2,2,177,233
6,2,436,233
1,3,133,260
2,3,175,260
3,3,223,262
5,3,385,258
6,3,436,260
7,3,482,260
1,4,129,336
2,4,176,338
3,4,223,336
5,4,386,338
6,4,437,340
7,4,485,340
1,5,132,410
2,5,177,412
3,5,225,412
5,5,382,411
6,5,436,414
7,5,490,413
1,6,132,493
2,6,176,495
3,6,226,496
5,6,383,493
6,6,436,493
7,6,492,493
1,7,131,567
2,7,177,569
3,7,228,568
5,7,379,565
6,7,435,566
7,7,496,565
2,8,177,607
6,8,437,604
0,9,72,655
1,9,131,654
2,9,176,653
3,9,229,649
6,9,436,655
7,9,485,652
8,9,535,652
0,10,75,724
1,10,134,724
2,10,174,721
3,10,228,708
4,10,303,705
5,10,382,702
6,10,436,706
7,10,489,717
8,10,533,717
0,11,69,768
4,11,303,739
